empty1,,empty2,,empty3,
8.3,0.99769497,8.3,1.0023079,8.3,0.99312091
8.301,0.99769497,8.301,1,8.301,0.9954077
8.302,0.99769497,8.302,1,8.302,0.99541003
8.303,0.99769497,8.303,1,8.303,0.99541003
8.304,0.99540293,8.304,1.0023003,8.304,0.99541003
8.305,0.99540532,8.305,1,8.305,0.99541003
8.306,0.99540532,8.306,0.99769968,8.306,0.99312162
8.307,0.99769735,8.307,0.99769968,8.307,0.99312162
8.308,0.99540532,8.308,1,8.308,0.99311227
8.309,0.99769735,8.309,0.99769968,8.309,0.99311227
8.31,0.99769735,8.31,1,8.31,0.99311227
8.311,0.9954077,8.311,1,8.311,0.99540198
8.312,0.99770504,8.312,1,8.312,0.99540198
8.313,0.99541003,8.313,1,8.313,0.99311602
8.314,0.99541003,8.314,1,8.314,0.99540442
8.315,0.99540603,8.315,1,8.315,0.99770343
8.316,0.99540603,8.316,1,8.316,0.99770343
8.317,0.99540198,8.317,0.99769825,8.317,0.99311703
8.318,0.99769562,8.318,0.99769825,8.318,0.99311703
8.319,0.99769562,8.319,1,8.319,0.99311435
8.32,0.99540442,8.32,0.99769825,8.32,0.99311435
8.321,0.99540442,8.321,1.0023059,8.321,0.99311435
8.322,0.99540442,8.322,1.0023059,8.322,0.99083227
8.323,0.99540699,8.323,0.9954055,8.323,0.99083227
8.324,0.99540699,8.324,1,8.324,0.99311817
8.325,0.99540699,8.325,0.9954055,8.325,0.99540812
8.326,0.99769825,8.326,0.99311435,8.326,0.99540812
8.327,0.9976995,8.327,0.99770075,8.327,0.99540424
8.328,0.9976995,8.328,0.99540424,8.328,0.99311298
8.329,0.99770075,8.329,1,8.329,0.99540031
8.33,0.99770075,8.33,0.99769682,8.33,0.99540031
8.331,0.99770075,8.331,0.99769682,8.331,0.99540031
8.332,0.99770212,8.332,1,8.332,0.99311697
8.333,0.99540424,8.333,0.99769819,8.333,0.99540961
8.334,0.99769682,8.334,0.99540961,8.334,0.99540573
8.335,0.99769682,8.335,1,8.335,0.99311852
8.336,0.99769682,8.336,1,8.336,0.99311852
8.337,0.99769682,8.337,0.99770612,8.337,0.99311852
8.338,0.99769819,8.338,0.99769431,8.338,0.99311608
8.339,0.99540961,8.339,0.9977023,8.339,0.99541122
8.34,0.99540961,8.34,0.9977023,8.34,0.99312019
8.341,0.99770612,8.341,1.0023017,8.341,0.9954074
8.342,0.99770612,8.342,1,8.342,0.9954074
8.343,0.99769431,8.343,1.0023017,8.343,0.9954074
8.344,0.99769431,8.344,0.99769849,8.344,0.99540359
8.345,0.99540186,8.345,1,8.345,0.99769986
8.346,0.9977023,8.346,1,8.346,0.99769986
8.347,1,8.347,1,8.347,0.99769986
8.348,1,8.348,0.99769986,8.348,0.99540645
8.349,0.99770361,8.349,1,8.349,0.99770135
8.35,1,8.35,1,8.35,0.99540269
8.351,1,8.351,1.002304,8.351,0.99540269
8.352,0.99769849,8.352,1,8.352,0.99769604
8.353,0.99769849,8.353,1,8.353,0.99769604
8.354,1,8.354,1.0046185,8.354,0.99769604
8.355,1,8.355,1.0023093,8.355,0.99770433
8.356,1,8.356,1.0023093,8.356,0.99770433
8.357,1,8.357,1.0046155,8.357,0.99770433
8.358,1.0023055,8.358,1.0046155,8.358,0.9976989
8.359,1.002304,8.359,1,8.359,0.9976989
8.36,1.002304,8.36,1.0069326,8.36,1
8.361,1.002304,8.361,1.0046127,8.361,1
8.362,1.002304,8.362,1.0046164,8.362,1
8.363,1.002304,8.363,1.0046127,8.363,1
8.364,1.0046185,8.364,1.0046164,8.364,1.0023047
8.365,1.0046185,8.365,1.006928,8.365,1.0023047
8.366,1.0046185,8.366,1.0046164,8.366,1.0023047
8.367,1.0069301,8.367,1.0046164,8.367,1.0046202
8.368,1.0069301,8.368,1.0092542,8.368,1.0046202
8.369,1.0069301,8.369,1.0092548,8.369,1.0046202
8.37,1.0069301,8.37,1.0069373,8.37,1.0046202
8.371,1.0069301,8.371,1.006928,8.371,1.0046202
8.372,1.0069301,8.372,1.0092548,8.372,1.0069324
8.373,1.0069301,8.373,1.0092542,8.373,1.0069324
8.374,1.0069301,8.374,1.0092548,8.374,1.0069324
8.375,1.0069301,8.375,1.0115832,8.375,1.0069324
8.376,1.0092516,8.376,1.0092542,8.376,1.0069324
