p1,,p2,,p3,,p4,,p5,,qa,,qb,,qc,,qd,,qe,,qf,,qg,,qh,,qi,,qj,
8.3,1,8.3,0.9954077,8.3,0.99312091,8.3,0.9954077,8.3,0.99540293,8.3,0.99082708,8.3,0.99540532,8.3,0.99083644,8.3,0.9954077,8.3,0.9954077,8.3,0.99770266,8.3,0.99769735,8.3,0.9954077,8.3,0.9954077,8.3,0.99312091
8.301,0.99769497,8.301,0.99311793,8.301,0.9954077,8.301,0.99311793,8.301,0.99540532,8.301,0.99082708,8.301,0.99540532,8.301,0.99083644,8.301,0.99541003,8.301,0.99311793,8.301,0.99540532,8.301,1,8.301,0.9954077,8.301,0.99311793,8.301,0.9954077
8.302,1,8.302,0.99311793,8.302,0.99311793,8.302,0.99311793,8.302,0.99312091,8.302,0.9931109,8.302,0.99769735,8.302,0.99311793,8.302,0.99541003,8.302,0.99311793,8.302,0.99769735,8.302,0.99770504,8.302,0.9954077,8.302,0.99311793,8.302,0.99541003
8.303,1,8.303,0.99312162,8.303,0.99083483,8.303,0.99312162,8.303,0.99312091,8.303,0.9931109,8.303,0.9954077,8.303,0.99311793,8.303,0.99540603,8.303,0.99312162,8.303,0.99312091,8.303,1,8.303,0.99541003,8.303,0.99541003,8.303,0.99541003
8.304,1,8.304,0.99540603,8.304,0.99312162,8.304,0.99540603,8.304,0.9954077,8.304,0.99083173,8.304,0.9954077,8.304,0.99311793,8.304,0.99540603,8.304,0.99540603,8.304,0.99312162,8.304,1,8.304,0.99541003,8.304,0.99541003,8.304,0.99541003
8.305,1,8.305,0.99540603,8.305,0.99312162,8.305,0.99540603,8.305,0.9954077,8.305,0.98855251,8.305,0.99541003,8.305,0.99312162,8.305,0.99311227,8.305,0.99540603,8.305,1,8.305,0.99769968,8.305,0.99541003,8.305,0.99312162,8.305,0.99312162
8.306,1,8.306,0.99540603,8.306,0.99083483,8.306,0.99540603,8.306,0.99311793,8.306,0.98855251,8.306,0.99541003,8.306,0.9908331,8.306,0.99311227,8.306,0.99540603,8.306,0.98855853,8.306,0.99769968,8.306,0.99312162,8.306,0.99312162,8.306,0.99312162
8.307,0.99769735,8.307,0.99311227,8.307,0.99540603,8.307,0.99540603,8.307,0.99311793,8.307,0.98855251,8.307,0.99541003,8.307,0.9908331,8.307,0.99311227,8.307,0.99540603,8.307,0.9908331,8.307,0.99769968,8.307,0.99312162,8.307,0.99540603,8.307,0.9908331
8.308,0.99769735,8.308,0.99311227,8.308,0.9908331,8.308,0.99311227,8.308,0.99311793,8.308,0.98855251,8.308,0.99541003,8.308,0.9908331,8.308,0.99311227,8.308,0.99311227,8.308,0.99312162,8.308,0.99769968,8.308,0.99312162,8.308,0.99311227,8.308,0.99311227
8.309,1,8.309,0.99311227,8.309,0.99311227,8.309,0.99311227,8.309,0.99312162,8.309,0.98855251,8.309,0.99541003,8.309,0.9908331,8.309,0.99311227,8.309,0.99311227,8.309,0.9908331,8.309,0.99769968,8.309,0.99540603,8.309,0.99311227,8.309,0.99311227
8.31,1,8.31,0.99083149,8.31,0.99311227,8.31,0.99083149,8.31,0.99312162,8.31,0.98855251,8.31,0.99312162,8.31,0.9908331,8.31,0.99083149,8.31,0.99083149,8.31,0.98855764,8.31,0.99769968,8.31,0.99311227,8.31,0.99311227,8.31,0.99311227
8.311,1,8.311,0.99311602,8.311,0.99083149,8.311,0.99311602,8.311,0.99312162,8.311,0.98855853,8.311,0.99540603,8.311,0.9908331,8.311,0.99311602,8.311,0.99311602,8.311,0.98855764,8.311,0.99540198,8.311,0.99311227,8.311,0.99311227,8.311,0.99540198
8.312,0.99770504,8.312,0.99311602,8.312,0.99311602,8.312,0.99540442,8.312,0.9908331,8.312,0.98855162,8.312,0.99311227,8.312,0.99083149,8.312,0.99540442,8.312,0.99540442,8.312,0.99311227,8.312,0.99540198,8.312,0.99311602,8.312,0.99311602,8.312,0.99311602
8.313,0.99769968,8.313,0.99540442,8.313,0.99540442,8.313,0.99311322,8.313,0.99311227,8.313,0.9908331,8.313,0.99540198,8.313,0.99083012,8.313,0.99311322,8.313,0.99311322,8.313,0.99083012,8.313,0.99769562,8.313,0.99311602,8.313,0.99083012,8.313,0.99311602
8.314,1,8.314,0.99311322,8.314,0.99083012,8.314,0.99311322,8.314,0.99540198,8.314,0.9908331,8.314,0.99311602,8.314,0.99083012,8.314,0.99311322,8.314,0.99311322,8.314,0.99083012,8.314,0.99769562,8.314,0.99540442,8.314,0.99311322,8.314,0.99540442
