JN202303200003_DeltaP,,JN202303200004_DeltaP,,JN202303200006_DeltaP,,JN202303200007_DeltaP,,JN202303200008_DeltaP,,JN202303200010_DeltaP,,JN202303200011_DeltaP,
-1e-07,-1.9447672e-05,-1e-07,-1.0915326e-06,-1e-07,-7.9469673e-06,-1e-07,1.0126835e-05,-1e-07,3.096836e-05,-1e-07,-3.9364702e-05,-1e-07,2.9255307e-05
-9.8e-08,-4.1302264e-05,-9.8e-08,-2.1568962e-06,-9.8e-08,1.9736317e-05,-9.8e-08,-9.1632328e-06,-9.8e-08,2.6038224e-05,-9.8e-08,-1.6487951e-05,-9.8e-08,-2.5703546e-05
-9.6e-08,-2.5552348e-05,-9.6e-08,5.3194532e-07,-9.6e-08,5.5018486e-06,-9.6e-08,-1.2638994e-05,-9.6e-08,1.9983881e-05,-9.6e-08,-3.3551606e-07,-9.6e-08,-5.0169143e-07
-9.4e-08,-2.3032659e-05,-9.4e-08,-6.4177907e-06,-9.4e-08,2.8366714e-05,-9.4e-08,-4.1342686e-05,-9.4e-08,3.0520194e-05,-9.4e-08,3.0610026e-05,-9.4e-08,-1.1155778e-05
-9.2e-08,-1.1932741e-05,-9.2e-08,-1.3708001e-06,-9.2e-08,3.2737113e-05,-9.2e-08,2.83696e-06,-9.2e-08,2.9403272e-05,-9.2e-08,3.5320441e-05,-9.2e-08,-3.8079002e-06
-9e-08,-7.3414499e-06,-9e-08,1.3704313e-05,-9e-08,2.1866317e-05,-9e-08,-8.5972551e-06,-9e-08,-7.8185585e-06,-9e-08,5.1921405e-05,-9e-08,-1.3947389e-05
-8.8e-08,5.1615798e-06,-8.8e-08,2.8000757e-05,-8.8e-08,1.6372362e-05,-8.8e-08,7.3824456e-05,-8.8e-08,2.6934562e-05,-8.8e-08,2.589933e-05,-8.8e-08,-1.1155778e-05
-8.6e-08,1.3962209e-05,-8.6e-08,3.4730077e-05,-8.6e-08,3.1172531e-05,-8.6e-08,7.2094836e-06,-8.6e-08,1.1688695e-05,-8.6e-08,3.4872188e-05,-8.6e-08,-1.2771886e-05
-8.4e-08,2.4724168e-05,-8.4e-08,2.1557851e-05,-8.4e-08,4.3276999e-05,-8.4e-08,8.1444836e-05,-8.4e-08,9.4478501e-06,-8.4e-08,4.2720632e-05,-8.4e-08,-3.3565459e-05
-8.2e-08,5.1067207e-05,-8.2e-08,9.223003e-06,-8.2e-08,3.9016995e-05,-8.2e-08,4.6348032e-05,-8.2e-08,-1.6789782e-05,-8.2e-08,3.4423938e-05,-8.2e-08,-8.8776442e-06
-8e-08,4.4228051e-05,-8e-08,2.2784636e-05,-8e-08,1.9846433e-05,-8e-08,6.1148115e-05,-8e-08,-3.1087227e-06,-8e-08,1.9395915e-05,-8e-08,1.2429407e-05
-7.8e-08,3.0828702e-05,-7.8e-08,8.15764e-06,-7.8e-08,9.8719647e-06,-7.8e-08,3.3789431e-05,-7.8e-08,-3.4731947e-05,-7.8e-08,4.3676096e-06,-7.8e-08,2.9255307e-05
-7.6e-08,8.3571849e-06,-7.6e-08,1.2021983e-05,-7.6e-08,4.0473856e-06,-7.6e-08,2.1230544e-05,-7.6e-08,-4.9977814e-05,-7.6e-08,4.7879581e-05,-7.6e-08,1.580961e-05
-7.4e-08,-5.9897598e-06,-7.4e-08,-5.3327824e-07,-7.4e-08,1.2339875e-05,-7.4e-08,6.6086337e-05,-7.4e-08,-4.21308e-05,-7.4e-08,-8.6395021e-06,-7.4e-08,-3.1875359e-05
-7.2e-08,-4.4249541e-06,-7.2e-08,2.5281807e-07,-7.2e-08,1.8502364e-05,-7.2e-08,7.2251823e-05,-7.2e-08,7.6476081e-06,-7.2e-08,-1.6936201e-05,-7.2e-08,7.3596634e-06
-7e-08,-1.0198957e-05,-7e-08,-5.741972e-06,-7e-08,-1.28755e-05,-7e-08,7.807924e-05,-7e-08,-3.5568917e-06,-7e-08,4.4961886e-05,-7e-08,-2.5703546e-05
-6.8e-08,3.2002492e-06,-6.8e-08,-3.7133697e-05,-6.8e-08,-1.4784991e-05,-6.8e-08,9.1541617e-05,-6.8e-08,-8.942764e-06,-6.8e-08,2.1263572e-06,-6.8e-08,-2.8495717e-05
-6.6e-08,1.4968656e-05,-6.6e-08,-3.5840774e-05,-6.6e-08,-2.688974e-05,-6.6e-08,7.2361996e-05,-6.6e-08,-3.3380154e-05,-6.6e-08,-1.1997878e-05,-6.6e-08,-2.0119203e-05
-6.4e-08,-1.3984682e-06,-6.4e-08,-2.5974352e-05,-6.4e-08,-1.1083128e-05,-6.4e-08,6.8548157e-05,-6.4e-08,-5.4011616e-05,-6.4e-08,-5.2738401e-06,-6.4e-08,9.6377971e-06
