% Model:              final_cavity_sample_res_only.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 8 2023, 14:42
% Table:              Table 29 - Line Maximum 1
% sample_conductivity (S/m)                       freq (GHz)                                        Electric field norm (V/m)
1.0E-6                                            8.5012                                            44363.26340563497
0.001                                             8.5012                                            44363.26340563497
0.001122018454301963                              8.5012                                            44363.26340563497
0.0012589254117941675                             8.5012                                            44363.26340563497
0.001412537544622754                              8.5012                                            44363.26340563497
0.001584893192461114                              8.5012                                            44363.26340563497
0.0017782794100389228                             8.5012                                            44363.26340563497
0.001995262314968879                              8.5012                                            44363.26340563497
0.00223872113856834                               8.5012                                            44363.26340563497
0.0025118864315095794                             8.5012                                            44363.26340563497
0.002818382931264455                              8.5012                                            44363.26340563497
0.0031622776601683794                             8.5012                                            44363.26340563497
0.0035481338923357532                             8.5012                                            44363.26340563497
0.003981071705534973                              8.5012                                            44363.26340563497
0.0044668359215096305                             8.5012                                            44363.26340563497
0.005011872336272725                              8.5012                                            44363.26340563497
0.005623413251903491                              8.5012                                            44363.26340563497
0.00630957344480193                               8.5012                                            44363.26340563497
0.00707945784384138                               8.5012                                            44363.26340563497
0.007943282347242814                              8.5012                                            44363.26340563497
0.008912509381337459                              8.5012                                            44363.26340563497
0.01                                              8.5012                                            44363.26340563497
0.011220184543019636                              8.5012                                            44363.26340563497
0.012589254117941675                              8.5012                                            44363.26340563497
0.014125375446227547                              8.5012                                            44363.26340563497
0.01584893192461114                               8.5012                                            44363.26340563497
0.01778279410038923                               8.5012                                            44363.26340563497
0.0199526231496888                                8.5012                                            44363.26340563497
0.0223872113856834                                8.5012                                            44363.26340563497
0.025118864315095808                              8.5012                                            44363.26340563497
0.02818382931264455                               8.5012                                            44363.26340563497
0.03162277660168379                               8.5012                                            44363.26340563497
0.03548133892335755                               8.5012                                            44363.26340563497
0.039810717055349734                              8.5012                                            44362.862041572414
0.04466835921509633                               8.5012                                            44362.023941730986
0.05011872336272725                               8.5012                                            44362.023941730986
0.05623413251903491                               8.5012                                            44362.023941730986
0.06309573444801933                               8.5012                                            44362.023941730986
0.0707945784384138                                8.5012                                            44359.07896928476
0.07943282347242818                               8.5012                                            44359.07896928476
0.08912509381337459                               8.5012                                            44359.07896928476
0.1                                               8.5012                                            44359.07896928476
0.11220184543019641                               8.5012                                            44359.07896928476
0.12589254117941676                               8.5012                                            44354.63520678448
0.1412537544622754                                8.5012                                            44351.525097271806
0.15848931924611143                               8.5012                                            44345.86987531834
0.1778279410038923                                8.5012                                            44344.702065006335
0.19952623149688808                               8.5012                                            44335.06517701588
0.223872113856834                                 8.5012                                            44320.845127203494
0.25118864315095824                               8.5012                                            44320.845127203494
0.2818382931264455                                8.5012                                            44305.15124618342
0.31622776601683794                               8.5012                                            44297.12548168469
0.3548133892335757                                8.5012                                            44276.85081033063
0.3981071705534973                                8.5012                                            44265.57928717825
0.4466835921509635                                8.5012                                            44246.20512332554
0.5011872336272725                                8.5012                                            44223.33860805104
0.5623413251903491                                8.5012                                            44202.72287527715
0.6309573444801936                                8.5012                                            44175.836929347235
0.707945784384138                                 8.5012                                            44146.61345623071
0.7943282347242822                                8.5012                                            44110.14237283922
0.8912509381337459                                8.5012                                            44076.49797443397
1                                                 8.5012                                            44036.31425203337
1.1220184543019642                                8.5012                                            43988.883164066676
1.2589254117941675                                8.5012                                            43944.361975676955
1.4125375446227555                                8.5012                                            43883.638676919145
1.584893192461114                                 8.5012                                            43823.56823633824
1.7782794100389228                                8.5012                                            43751.53176618271
1.9952623149688808                                8.5012                                            43677.19823186739
2.23872113856834                                  8.5012                                            43591.528753599
2.5118864315095824                                8.5012                                            43491.70281965516
2.818382931264455                                 8.5012                                            43390.82603956638
3.1622776601683795                                8.5012                                            43274.28466899411
3.548133892335757                                 8.5012                                            43143.9931735051
3.981071705534973                                 8.5012                                            42996.78269661343
4.4668359215096345                                8.5012                                            42833.647078899914
5.011872336272725                                 8.5012                                            42649.630703916424
5.623413251903491                                 8.5012                                            42449.78285082426
6.309573444801936                                 8.5012                                            42223.67706330143
7.07945784384138                                  8.5012                                            41972.93429398734
7.943282347242821                                 8.5012                                            41697.52728048498
8.91250938133746                                  8.5012                                            41392.13148054694
10                                                8.5012                                            41054.932265955315
11.220184543019629                                8.5012                                            40683.83478961793
12.589254117941687                                8.5012                                            40275.57338936909
14.125375446227554                                8.5012                                            39826.567357944325
15.848931924611142                                8.5012                                            39335.530244667185
17.78279410038923                                 8.5012                                            38798.79502704805
19.952623149688787                                8.5012                                            38213.82942688983
22.387211385683422                                8.5012                                            37578.08436897357
25.11886431509582                                 8.5012                                            36889.3573678723
28.18382931264455                                 8.5012                                            36146.31357562892
31.622776601683793                                8.5012                                            35347.46729723763
35.481338923357534                                8.5012                                            34491.99838231232
39.81071705534978                                 8.5012                                            33580.32358882236
44.668359215096345                                8.5012                                            32613.07994928112
50.11872336272725                                 8.5012                                            31592.01894890381
56.23413251903491                                 8.5012                                            30520.029148047382
63.09573444801943                                 8.5012                                            29400.625268870175
70.79457843841388                                 8.5012                                            28238.48104857995
79.43282347242821                                 8.5012                                            27039.230859018087
89.12509381337459                                 8.5012                                            25809.43112172326
100                                               8.5012                                            24556.347466001265
