JN202305170049_DeltaP,,JN202305170050_DeltaP,,JN202305170051_DeltaP,,JN202305170052_DeltaP,,JN202305170053_DeltaP,,JN202305170054_DeltaP,,JN202305170055_DeltaP,,JN202305170056_DeltaP,,JN202305170057_DeltaP,,JN202305170058_DeltaP,,JN202305170059_DeltaP,
-1e-07,-8.7956847e-05,-1e-07,0.0001223032,-1e-07,3.6546982e-05,-1e-07,-7.1128379e-05,-1e-07,1.9205452e-05,-1e-07,1.4550315e-05,-1e-07,-0.00013630527,-1e-07,7.0759066e-05,-1e-07,9.5334326e-05,-1e-07,-0.00022697133,-1e-07,2.9062039e-05
-9.8e-08,-7.95995e-05,-9.8e-08,0.00018012212,-9.8e-08,-4.7048063e-05,-9.8e-08,-8.8432034e-06,-9.8e-08,-1.8757875e-05,-9.8e-08,-2.6838095e-05,-9.8e-08,-3.3440381e-05,-9.8e-08,7.758227e-05,-9.8e-08,0.00011453158,-9.8e-08,4.7363661e-05,-9.8e-08,1.9577961e-05
-9.6e-08,-4.6162775e-05,-9.6e-08,0.00013136512,-9.6e-08,-0.00012265504,-9.6e-08,-1.0857603e-05,-9.6e-08,-9.2793771e-06,-9.6e-08,2.4573423e-05,-9.6e-08,-8.8001107e-05,-9.6e-08,3.164083e-05,-9.6e-08,0.00017357507,-9.6e-08,-8.3034574e-05,-9.6e-08,-1.5192008e-05
-9.4e-08,-4.3001804e-05,-9.4e-08,0.00010738373,-9.4e-08,-9.0351787e-05,-9.4e-08,2.4899373e-05,-9.4e-08,-7.7731092e-06,-9.4e-08,-4.1257674e-05,-9.4e-08,-1.3960741e-05,-9.4e-08,0.0001216025,-9.4e-08,8.3535961e-05,-9.4e-08,-8.1315797e-05,-9.4e-08,-3.1445066e-05
-9.2e-08,-5.5423177e-05,-9.2e-08,7.9674479e-05,-9.2e-08,-2.3737433e-05,-9.2e-08,2.570242e-05,-9.2e-08,-2.7803178e-06,-9.2e-08,-8.0119942e-05,-9.2e-08,-1.2403421e-05,-9.2e-08,2.2830427e-05,-9.2e-08,-3.450306e-05,-9.2e-08,-1.6948552e-05,-9.2e-08,-3.8672628e-05
-9e-08,-1.7470895e-05,-9e-08,0.00010578622,-9e-08,-1.0412733e-05,-9e-08,2.3293276e-05,-9e-08,-6.2729414e-05,-9e-08,3.9608869e-05,-9e-08,-1.2403421e-05,-9e-08,-1.1385808e-05,-9e-08,5.4038195e-05,-9e-08,-3.2207965e-05,-9e-08,-1.5421158e-05
-8.8e-08,-2.5376716e-05,-8.8e-08,6.1821738e-05,-8.8e-08,-3.2391599e-05,-8.8e-08,-1.8493338e-05,-8.8e-08,-0.00010120044,-8.8e-08,2.3320534e-05,-8.8e-08,-4.9806356e-05,-8.8e-08,-2.0164434e-05,-8.8e-08,-0.0001643884,-8.8e-08,8.1267121e-05,-8.8e-08,5.8860394e-05
-8.6e-08,-6.1748106e-06,-8.6e-08,6.2624997e-05,-8.6e-08,-1.8739267e-05,-8.6e-08,-3.5766654e-05,-8.6e-08,-7.5219825e-05,-8.6e-08,2.0814756e-05,-8.6e-08,7.0771939e-06,-8.6e-08,3.3939702e-07,-8.6e-08,5.34318e-06,-8.6e-08,-4.2361859e-05,-8.6e-08,0.00011124478
-8.4e-08,-3.3512111e-05,-8.4e-08,9.0750946e-06,-8.4e-08,-4.9711172e-05,-8.4e-08,1.767194e-05,-8.4e-08,-0.0001076995,-8.4e-08,-2.7454746e-05,-8.4e-08,-0.00010201698,-8.4e-08,-3.4837438e-05,-8.4e-08,-6.1099192e-05,-8.4e-08,-4.5746488e-05,-8.4e-08,3.5831021e-05
-8.2e-08,-4.0744169e-05,-8.2e-08,2.7451684e-05,-8.2e-08,-8.0880809e-06,-8.2e-08,-1.6152705e-06,-8.2e-08,-2.2768969e-05,-8.2e-08,4.0861756e-05,-8.2e-08,-5.4478314e-05,-8.2e-08,4.8268037e-05,-8.2e-08,8.7983412e-05,-8.2e-08,0.00010323864,-8.2e-08,1.3252892e-05
-8e-08,-7.2367446e-05,-8e-08,2.6919179e-05,-8e-08,-2.5407237e-05,-8e-08,-1.367505e-05,-8e-08,-0.0001261819,-8e-08,2.3937186e-05,-8e-08,-2.8002913e-05,-8e-08,8.3477869e-05,-8e-08,-8.0248479e-05,-8e-08,-1.1898066e-05,-8e-08,-2.3271075e-06
