mw160samp2,,mw150samp,,mw132samp,,mw117samp,,mw102samp,,mw89samp,,mw73samp,,mw60samp,,mw43samp,,mw32samp,,uw14488samp,,uw7160samp,,uw839samp,,uw1548samp,
8.3,0.99083066,8.3,0.99312043,8.3,0.99312121,8.3,0.99311197,8.3,0.99083245,8.3,0.99083126,8.3,0.99311709,8.3,0.99311596,8.3,0.99311519,8.3,1.0069317,8.3,0.99311346,8.3,0.99540442,8.3,0.99083084,8.3,0.99311787
8.301,0.99083066,8.301,0.99312043,8.301,0.99312109,8.301,0.99311197,8.301,0.99083245,8.301,0.99311519,8.301,0.99311709,8.301,0.99540484,8.301,0.99311519,8.301,0.99311841,8.301,0.99311346,8.301,0.99540442,8.301,0.98855233,8.301,0.99311548
8.302,0.99082887,8.302,0.99540544,8.302,0.99312109,8.302,0.99311382,8.302,0.99083245,8.302,0.99311519,8.302,0.99311566,8.302,0.99540472,8.302,0.99311519,8.302,0.99311841,8.302,0.99311346,8.302,0.99540442,8.302,0.98855233,8.302,0.99082732
8.303,0.99082887,8.303,0.99311173,8.303,0.99312109,8.303,0.99311382,8.303,0.99311638,8.303,0.99311519,8.303,0.99311566,8.303,0.99540472,8.303,0.99311519,8.303,0.99311841,8.303,0.99082756,8.303,0.99311608,8.303,0.99083185,8.303,0.99311548
8.304,0.99082887,8.304,0.99311173,8.304,0.99540615,8.304,0.99083018,8.304,0.99311638,8.304,0.99311572,8.304,0.99311566,8.304,0.99540472,8.304,0.9954055,8.304,0.99311841,8.304,0.99311203,8.304,0.9954055,8.304,0.99083185,8.304,0.99311304
8.305,0.99311382,8.305,0.99311709,8.305,0.99540615,8.305,0.99083018,8.305,0.99540579,8.305,0.99311572,8.305,0.99540561,8.305,0.99540651,8.305,0.99083203,8.305,0.99769998,8.305,0.99311203,8.305,0.9954055,8.305,0.98855311,8.305,0.99311304
8.306,0.99311382,8.306,0.99083215,8.306,0.99311322,8.306,0.99083018,8.306,0.99311578,8.306,0.99311572,8.306,0.99311692,8.306,0.99540651,8.306,0.9954055,8.306,0.99769998,8.306,0.99311203,8.306,0.9954055,8.306,0.99083179,8.306,0.99311304
8.307,0.99082708,8.307,0.99311709,8.307,0.99082816,8.307,0.99083018,8.307,0.99311578,8.307,0.99311626,8.307,0.99311692,8.307,0.99311596,8.307,0.9954055,8.307,0.99769998,8.307,0.99311787,8.307,0.99311632,8.307,0.98855269,8.307,0.99083316
8.308,0.99082708,8.308,0.99311709,8.308,0.99082816,8.308,0.99082679,8.308,0.99311632,8.308,0.99311626,8.308,0.99311692,8.308,0.99311596,8.308,0.99770105,8.308,0.99311316,8.308,0.99311787,8.308,0.99540669,8.308,0.98855269,8.308,0.99311751
8.309,0.99082708,8.309,0.99311543,8.309,0.99311322,8.309,0.99311751,8.309,0.99311632,8.309,0.99540615,8.309,0.99311543,8.309,0.99311596,8.309,0.99770105,8.309,0.99311316,8.309,0.99083591,8.309,0.99540669,8.309,0.99083167,8.309,0.99083227
8.31,0.9931109,8.31,0.99311543,8.31,0.99083078,8.31,0.99311751,8.31,0.99083227,8.31,0.99311692,8.31,0.99311543,8.31,0.99540484,8.31,0.99311513,8.31,0.99311316,8.31,0.99083591,8.31,0.99540669,8.31,0.98855346,8.31,0.99083227
8.311,0.99083173,8.311,0.99083245,8.311,0.99311322,8.311,0.99083233,8.311,0.99083227,8.311,0.99311692,8.311,0.99083161,8.311,0.99311608,8.311,0.99311513,8.311,0.99311393,8.311,0.9931165,8.311,0.9954049,8.311,0.98855346,8.311,0.99311513
8.312,0.99083644,8.312,0.99083245,8.312,0.99311322,8.312,0.9931106,8.312,0.99311578,8.312,0.99311638,8.312,0.9931168,8.312,0.9954049,8.312,0.99311513,8.312,0.99311393,8.312,0.9931165,8.312,0.9954049,8.312,0.98855346,8.312,0.99083149
8.313,0.99083644,8.313,0.99312085,8.313,0.99311322,8.313,0.9931106,8.313,0.99083173,8.313,0.99311638,8.313,0.9931168,8.313,0.9954049,8.313,0.99540353,8.313,0.99311393,8.313,0.99082923,8.313,0.99311548,8.313,0.99083281,8.313,0.99083149
8.314,0.98855853,8.314,0.99312085,8.314,0.99082553,8.314,0.9931106,8.314,0.99083173,8.314,0.99311638,8.314,0.99083185,8.314,0.99311614,8.314,0.99540353,8.314,0.99311393,8.314,0.99311513,8.314,0.9954046,8.314,0.98855323,8.314,0.99311972
